Name,URL,Price
Easy on a Cap Egg (Tenga) Sex Toy Sexual,//www.lazada.com.ph/products/easy-on-a-cap-egg-tenga-sex-toy-sexual-i124118641-s129562841.html?search=1,₱100.00
"As Seen on TV Egg Rollie Maker (White/Black) ",//www.lazada.com.ph/products/as-seen-on-tv-egg-rollie-maker-whiteblack-i133141966-s146792754.html?search=1,₱490.00
Midoko Elegant 10-Speed USB Charging Waterproof Vibrating Egg Sex Toy Pink,//www.lazada.com.ph/products/midoko-elegant-10-speed-usb-charging-waterproof-vibrating-egg-sex-toy-pink-i157122412-s190109913.html?search=1,₱622.00
"As Seen on TV Egg Rollie Maker (White/Black) ",//www.lazada.com.ph/products/as-seen-on-tv-egg-rollie-maker-whiteblack-i123856385-s129204098.html?search=1,₱490.00
Empire Egg Master Vertical Grill with Self Stirring Coffee Mug (Yellow) Bundle,//www.lazada.com.ph/products/empire-egg-master-vertical-grill-with-self-stirring-coffee-mug-yellow-bundle-i126521486-s132798598.html?search=1,₱494.99
Zover EggMaster Vertical Grill Egg Master Cooker Vertical Cooking Snack Saucepan Eggs Set of 2 with Self Stirring Mug (Yellow) Bundle,//www.lazada.com.ph/products/zover-eggmaster-vertical-grill-egg-master-cooker-vertical-cooking-snack-saucepan-eggs-set-of-2-with-self-stirring-mug-yellow-bundle-i121532367-s126401995.html?search=1,₱494.99
Midoko Multi-speed MP3 Shape Wireless Remote Control Vibrating Egg Adult Toy,//www.lazada.com.ph/products/midoko-multi-speed-mp3-shape-wireless-remote-control-vibrating-egg-adult-toy-i159463932-s194048889.html?search=1,₱222.00
Watson 2018 NEW Egglettes Egg Cooker Hard Boiled Eggs without the Shell 6 Egg Cups - intl,//www.lazada.com.ph/products/watson-2018-new-egglettes-egg-cooker-hard-boiled-eggs-without-the-shell-6-egg-cups-intl-i207491685-s262703851.html?search=1,₱510.00
Wireless Remote Control Frequency Conversion Vibration Egg Mute Adult Sexual Supplies Waterproof Adult Sexual Toys(Pink)A04008,//www.lazada.com.ph/products/wireless-remote-control-frequency-conversion-vibration-egg-mute-adult-sexual-supplies-waterproof-adult-sexual-toyspinka04008-i121526575-s126395317.html?search=1,₱418.00
"S-Hande ""Emily"" Wireless Remote Controlled Egg Vibrator (Pink)",//www.lazada.com.ph/products/s-hande-emily-wireless-remote-controlled-egg-vibrator-pink-i142070875-s161905604.html?search=1,₱699.00
TENGA Male Masturbator Pocket Realistic Vagina Japan Silicone Egg With Lubricant,//www.lazada.com.ph/products/tenga-male-masturbator-pocket-realistic-vagina-japan-silicone-egg-with-lubricant-i114973312-s118942409.html?search=1,₱348.00
Vibrating Egg Adult Toy Female Vaginal Stimulator/Vibrator (Pink),//www.lazada.com.ph/products/vibrating-egg-adult-toy-female-vaginal-stimulatorvibrator-pink-i6570057-s8399034.html?search=1,₱249.00
CW/CCW Egg Incubator Rotator Motor With Connector(220V) - intl,//www.lazada.com.ph/products/cwccw-egg-incubator-rotator-motor-with-connector220v-intl-i107509923-s108628035.html?search=1,₱520.00
Sex Supplies Flirt Vibrator Sensual Toys Fun Waterproof Vibrating Stick USB Charge Adult Game Vibrating Egg (Purple)VV502,//www.lazada.com.ph/products/sex-supplies-flirt-vibrator-sensual-toys-fun-waterproof-vibrating-stick-usb-charge-adult-game-vibrating-egg-purplevv502-i111320275-s113389310.html?search=1,₱518.00
Single Jump Egg Vibrator Sensual Toy for Women,//www.lazada.com.ph/products/single-jump-egg-vibrator-sensual-toy-for-women-i176851337-s222537601.html?search=1,₱119.00
Dual Vibrating Jump Egg with Remote Control,//www.lazada.com.ph/products/dual-vibrating-jump-egg-with-remote-control-i190405391-s240500207.html?search=1,₱195.00
"As Seen on TV Egg Rollie Maker (White/Black) ",//www.lazada.com.ph/products/as-seen-on-tv-egg-rollie-maker-whiteblack-i122728875-s127844215.html?search=1,₱490.00
"As Seen on TV Egg Rollie Maker (White/Black) ",//www.lazada.com.ph/products/as-seen-on-tv-egg-rollie-maker-whiteblack-i134641307-s150335985.html?search=1,₱490.00
